,Name,Code
0,ABROLHOS,A422
1,ACARAU,A360
2,AFONSO CLAUDIO,A657
3,AGUA BOA,A908
4,AGUA CLARA,A756
5,AGUAS EMENDADAS,A045
6,AGUAS VERMELHAS,A549
7,AIMORES,A534
8,ALEGRE,A617
9,ALEGRETE,A826
10,ALFREDO CHAVES,A615
11,ALMAS,A053
12,ALMENARA,A508
13,ALTA FLORESTA,A924
14,ALTAMIRA,A253
15,ALTO ARAGUAIA,A909
16,ALTO PARAISO DE GOIAS,A024
17,ALTO PARNAIBA,A223
18,ALTO TAQUARI,A934
19,ALVORADA DO GURGUEIA,A336
20,AMAMBAI,A750
21,AMARGOSA,A434
22,ANGELICA,S701
23,ANGICAL DO PIAUI,A377
24,ANGRA DOS REIS,A628
25,APIACAS,A910
26,APODI,A340
27,APUI,A113
28,AQUIDAUANA,A719
29,ARACAJU,A409
30,ARACUAI,A566
31,ARAGARCAS,A013
32,ARAGUACU,A054
33,ARAGUAINA,A021
34,ARAGUATINS,A044
35,ARAL MOREIRA,S702
36,ARAPIRACA,A353
37,ARARANGUA,A867
38,ARAXA,A505
39,ARCO VERDE,A309
40,AREIA,A310
41,ARIQUEMES,A940
42,ARIRANHA,A736
43,ARRAIAL DO CABO,A606
44,AUTAZES,A120
45,AVARE,A725
46,BACABAL,A220
47,BAGE,A827
48,BAIXA GRANDE DO RIBEIRO,A375
49,BALIZA,S113
50,BALSAS,A204
51,BAMBUI,A565
52,BANDEIRANTES,S703
53,BARBACENA,A502
54,BARBALHA,A315
55,BARCELOS,A128
56,BARRA,A429
57,BARRA BONITA,A741
58,BARRA DO CORDA,A221
59,BARRA DO TURVO,A746
60,BARREIRAS,A402
61,BARRETOS,A748
62,BARUERI,A755
63,BATAGUASSU,A759
64,BAURU,A705
65,BEBEDOURO,A764
66,BELA VISTA,A757
67,BELEM,A201
68,BELMONTE,A447
69,BELO HORIZONTE - CERCADINHO,F501
70,BENTO GONCALVES,A840
71,BERTIOGA,A765
72,BOA VISTA,A135
73,BOCA DO ACRE,A110
74,BOM JARDIM DA SERRA - MORRO DA IGREJA,A845
75,BOM JESUS DA LAPA,A418
76,BOM JESUS DO PIAUI,A326
77,BONFIM,S122
78,BONITO,S704
79,BRAGANCA,A226
80,BRAGANCA PAULISTA,A744
81,BRASILANDIA,S705
82,BRASILIA,A001
83,BRASNORTE (NOVO MUNDO),A927
84,BRAZLANDIA,A042
85,BREJO GRANDE,A421
86,BREVES,A228
87,BRUMADO,A433
88,BURITICUPU,A238
89,BURITIRAMA,A432
90,BURITIS,A544
91,CAARAPO,S706
92,CABACEIRAS,A348
93,CABROBO,A329
94,CACADOR,A859
95,CACAPAVA DO SUL,A812
96,CACHOEIRA PAULISTA,A769
97,CACOAL,A939
98,CAIAPONIA,A023
99,CAICO,A316
100,CALCANHAR,A344
101,CALDAS,A530
