,geometry
363094,POINT (-46.85000610351562 -23.85000038146973)
363095,POINT (-46.75 -23.85000038146973)
363096,POINT (-46.64999389648438 -23.85000038146973)
363097,POINT (-46.54998779296875 -23.85000038146973)
364086,POINT (-47.75 -23.75)
364087,POINT (-47.64999389648438 -23.75)
364088,POINT (-47.54998779296875 -23.75)
364089,POINT (-47.44998168945312 -23.75)
364090,POINT (-47.35000610351562 -23.75)
364091,POINT (-47.25 -23.75)
364092,POINT (-47.14999389648438 -23.75)
364093,POINT (-47.04998779296875 -23.75)
364094,POINT (-46.94998168945312 -23.75)
364095,POINT (-46.85000610351562 -23.75)
364096,POINT (-46.75 -23.75)
364097,POINT (-46.64999389648438 -23.75)
364098,POINT (-46.54998779296875 -23.75)
364099,POINT (-46.44998168945312 -23.75)
364100,POINT (-46.35000610351562 -23.75)
365086,POINT (-47.85000610351562 -23.64999961853027)
365087,POINT (-47.75 -23.64999961853027)
365088,POINT (-47.64999389648438 -23.64999961853027)
365089,POINT (-47.54998779296875 -23.64999961853027)
365090,POINT (-47.44998168945312 -23.64999961853027)
365091,POINT (-47.35000610351562 -23.64999961853027)
365092,POINT (-47.25 -23.64999961853027)
365093,POINT (-47.14999389648438 -23.64999961853027)
365094,POINT (-47.04998779296875 -23.64999961853027)
365095,POINT (-46.94998168945312 -23.64999961853027)
365096,POINT (-46.85000610351562 -23.64999961853027)
365097,POINT (-46.75 -23.64999961853027)
365098,POINT (-46.64999389648438 -23.64999961853027)
365099,POINT (-46.54998779296875 -23.64999961853027)
365100,POINT (-46.44998168945312 -23.64999961853027)
365101,POINT (-46.35000610351562 -23.64999961853027)
365102,POINT (-46.25 -23.64999961853027)
365103,POINT (-46.14999389648438 -23.64999961853027)
365104,POINT (-46.04998779296875 -23.64999961853027)
365107,POINT (-45.75 -23.64999961853027)
366086,POINT (-47.94998168945312 -23.54999923706055)
366087,POINT (-47.85000610351562 -23.54999923706055)
366088,POINT (-47.75 -23.54999923706055)
366089,POINT (-47.64999389648438 -23.54999923706055)
366090,POINT (-47.54998779296875 -23.54999923706055)
366091,POINT (-47.44998168945312 -23.54999923706055)
366092,POINT (-47.35000610351562 -23.54999923706055)
366093,POINT (-47.25 -23.54999923706055)
366094,POINT (-47.14999389648438 -23.54999923706055)
366095,POINT (-47.04998779296875 -23.54999923706055)
366096,POINT (-46.94998168945312 -23.54999923706055)
366097,POINT (-46.85000610351562 -23.54999923706055)
366098,POINT (-46.75 -23.54999923706055)
366099,POINT (-46.64999389648438 -23.54999923706055)
366100,POINT (-46.54998779296875 -23.54999923706055)
